NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$409,03/16/2019,"Friday, October 11, 2019",8.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$420,03/16/2019,"Thursday, October 10, 2019",10.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$376,03/16/2019,"Thursday, October 10, 2019",7.5
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$404,06/07/2019,"Monday, October 14, 2019",5
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$440,06/07/2019,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$474,06/07/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$465,06/07/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$439,06/07/2019,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$418,06/07/2019,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$414,06/07/2019,"Monday, October 14, 2019",5.5
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$422,06/07/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$438,06/07/2019,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Black (Non-Reflective),BLACK/BLACK/BLACK,42631,$220,$436,06/07/2019,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$720,07/11/2019,"Monday, October 14, 2019",6.5
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$721,07/11/2019,"Monday, October 14, 2019",6.5
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$780,07/11/2019,"Sunday, October 13, 2019",9.5
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$710,07/11/2019,"Saturday, October 12, 2019",7
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$800,07/11/2019,"Saturday, October 12, 2019",9
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$799,07/11/2019,"Saturday, October 12, 2019",9
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$800,07/11/2019,"Saturday, October 12, 2019",9.5
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$700,07/11/2019,"Saturday, October 12, 2019",7
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$560,07/11/2019,"Saturday, October 12, 2019",12
adidas Yeezy Boost 350 V2 Lundmark (Reflective),LUNDMARK/LUNDMARK/LUNDMARK,893,$250,$584,07/11/2019,"Friday, October 11, 2019",12
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$657,06/21/2019,"Monday, October 14, 2019",9
